name,lead_score,website_quality,email,phone,facebook_url,instagram_url,owner_name,rating,review_count,category,address,pitch_subject,pitch_body
ARS / Rescue Rooter,55,dead,,(615) 654-1315,,,,4.6,4824,general_contractor,"4071 Powell Ave, Nashville, TN 37204, USA",Improving your online presence in Nashville,"ARS / Rescue Rooter has built an impressive reputation, evidenced by your 4,800+ Google reviews and 4.6-star rating. Currently, customers searching for your services in Nashville are met with a dead end rather than a way to book.

When people face plumbing or HVAC emergencies, they need to reach you immediately. Without a functional website to embed your testimonials and provide a direct ""Schedule Service"" portal, you are likely losing high-intent leads to competitors who offer an easier booking process.

I am reaching out to offer my services to build a professional website that translates your existing social proof into booked appointments. Are you open to a 10-minute call this week to discuss how we could set this up?

[Your Name]"
"Airstream Services HVAC, Electrical & Plumbing",55,dead,,(615) 413-4189,,,,4.9,1207,general_contractor,"3333 Mayoral Ct D, Murfreesboro, TN 37127, USA",Airstream Services website,"Your team has built an incredible reputation, evidenced by your 1,200 Google reviews and 4.9-star rating.

However, potential customers looking for emergency services in Murfreesboro are hitting a dead end when they try to visit your website. Every visitor currently encountering that error is likely moving on to a competitor who has a functional booking portal. 

You are missing the opportunity to leverage your strong social proof to convert those high-intent searches into scheduled jobs. I am interested in building a professional, mobile-optimized site that allows your customers to request service instantly, even after hours.

Are you open to a 10-minute call this week to discuss how a website could better support your current volume?

[Your Name]"
Lee Company,55,dead,,(615) 867-1000,,,,4.7,1066,general_contractor,"675 Middle Tennessee Blvd A, Murfreesboro, TN 37129, USA",Digital presence for Lee Company,"I am reaching out because I noticed that current attempts to visit the Lee Company website result in a 403 Forbidden error. This is likely causing potential customers in Murfreesboro to leave your page and contact competitors instead.

You have built an impressive reputation with 1,066 Google reviews and a 4.7-star rating. That level of trust is a significant asset, but it is currently difficult for new clients to verify when they cannot access your site to view your portfolio or request a quote. 

I would like to discuss building a professional website that highlights your work and automates your lead intake. Are you open to a brief 10-minute call this week to talk about how we could fix this?

[Your Name]"
Armor Air TN,50,good,chosen-sprite@2x.png,(615) 237-7234,,,,4.9,521,service,"319 W McKnight Dr #8, Murfreesboro, TN 37129, USA",,
Right Time HVAC,50,good,john@doe.com,(615) 576-5487,,,,5.0,1031,general_contractor,"5300 Old Hickory Blvd, Nashville, TN 37218, USA",,
The Air Guys LLC,50,dead,,(931) 348-2109,,,,4.9,401,general_contractor,"301 N Horton Pkwy, Chapel Hill, TN 37034, USA",Website for The Air Guys LLC,"The Air Guys LLC has built an impressive reputation with 401 Google reviews at a 4.9-star rating. Despite this success, prospective customers searching for your services currently reach a dead end online. 

When potential clients cannot find a functional website, they often move to competitors who appear more accessible. A professional site would allow you to showcase your project portfolio and embed your existing reviews to build immediate trust. It would also let you capture leads 24/7 through an automated request form, saving you time spent on the phone while working on job sites.

Are you open to a brief 10-minute call this week to discuss how a simple website could help capture the leads you are currently missing?

[Your Name]"
"Air Conditioning Service, Inc",45,good,ACN-Logo-RGB-1-300x68@2x.png,(615) 834-7336,,,,4.8,267,general_contractor,"414 McNally Dr, Nashville, TN 37211, USA",,
TMC - Tennessee Mechanical Corporation,45,good,qodeinteractive@themeforest.net,(615) 255-6677,,,,4.6,127,general_contractor,"101 General Forrest Ct, Smyrna, TN 37167, USA",,
Tennessee Home Solutions,45,good,kduke@tn-homesolutions.com,(731) 587-9005,,,,4.8,185,general_contractor,"475 TN-431, Martin, TN 38237, USA",,
Armor Air TN,40,good,chosen-sprite@2x.png,(615) 544-6428,,,,4.9,39,general_contractor,"6200 Hospitality Dr Ste 149, Franklin, TN 37067, USA",,
Mid Tenn Air Conditioning and Heating,40,dead,,(615) 905-1025,,,,5.0,14,general_contractor,"3401 Mallory Ln #100, Franklin, TN 37067, USA",Website for Mid Tenn Air Conditioning and Heating,"Mid Tenn Air Conditioning and Heating,

I noticed that your business lacks a professional website. Since you are located in Franklin, potential customers searching for emergency HVAC services are likely bypassing you for competitors who appear more accessible online. 

You have built an impressive reputation with 14 five-star reviews on Google. A website would allow you to showcase these testimonials and provide a direct online quote tool, capturing high-intent leads who need immediate repairs. 

I am interested in helping you build a professional site to turn those searchers into booked appointments. Would you be open to a 10-minute call this week to discuss how we could set this up?

[Your Name]"
"Coolray Heating, Cooling, Plumbing & Electrical",35,good,,(615) 237-1603,,,,4.8,3928,general_contractor,"1717 Elm Hill Pike Ste B2, Nashville, TN 37210, USA",,
"Hiller Plumbing, Heating, Cooling & Electrical",35,good,,(615) 358-9132,,,,4.8,9835,service,"915 Murfreesboro Pike, Nashville, TN 37217, USA",,
Hoffmann Brothers,35,good,,(615) 515-3031,,,,4.8,2391,general_contractor,"45 Willow St, Nashville, TN 37210, USA",,
Holder Service Company LLC,35,good,,(931) 703-4622,,,,5.0,591,general_contractor,"1858 Bethbirei Rd, Lewisburg, TN 37091, USA",,
Premier Heating & Air,35,good,,(615) 726-8700,,,,4.9,1078,general_contractor,"78 Fesslers Ln, Nashville, TN 37210, USA",,
"Rocky Top HVAC, LLC",35,good,,(865) 474-1511,,,,4.8,1189,general_contractor,"7327 Oak Ridge Hwy, Knoxville, TN 37931, USA",,
South Nashville Heating & Cooling,35,good,,(615) 834-1636,,,,4.9,554,general_contractor,"501 Veritas St, Nashville, TN 37211, USA",,
Melton Heating and Air Conditioning,30,good,,(865) 210-8942,,,,4.9,329,general_contractor,"828 Clinch Ave, Clinton, TN 37716, USA",,
Tennessee Air,30,good,,(615) 908-6247,,,,5.0,242,general_contractor,"222 Jackson Meadows Dr, Hermitage, TN 37076, USA",,
