name,lead_score,website_quality,email,phone,facebook_url,instagram_url,owner_name,rating,review_count,category,address,pitch_subject,pitch_body
Premier Pools & Spas,25,good,,(256) 929-8653,,,,4.8,95,general_contractor,"105 Von Braun Dr NW, Huntsville, AL 35806, USA",,
Alabama Pool Kings,,,,(256) 325-1044,,,,4.9,62,general_contractor,"1091 Old Railroad Bed Rd, Madison, AL 35757, USA",,
Blue Haven Pools & Spas,,,,(256) 425-6566,,,,4.9,61,general_contractor,"9580 Madison Blvd #8, Madison, AL 35758, USA",,
Burleson Pool Company Inc,,,,(256) 829-7221,,,,4.5,25,general_contractor,"2725 Cullom Blvd SE, Owens Cross Roads, AL 35763, USA",,
Dreampools,,,,(256) 998-8203,,,,5.0,5,general_contractor,"10132 US-31, Tanner, AL 35671, USA",,
Inground Pool Design Inc - Huntsville,,,,(256) 221-3589,,,,5.0,1,general_contractor,"4100 Market St Ste 178, Huntsville, AL 35808, USA",,
Johnson Pools & Spas Huntsville,,,,(256) 533-3118,,,,4.1,192,sporting_goods_store,"2609 Governors Dr SW, Huntsville, AL 35805, USA",,
Outdoor Living Solutions,,,,(256) 431-0466,,,,5.0,14,general_contractor,"10132 US-31, Tanner, AL 35671, USA",,
Pool & Spa Depot,,,,(256) 886-9010,,,,4.8,180,general_contractor,"1307 Buford St NW, Huntsville, AL 35801, USA",,
Professional Pools and Care LLC,,,,(256) 800-6298,,,,4.7,217,general_contractor,"14057 US-231, Hazel Green, AL 35750, USA",,
Rocket City Pool & Spas,,,,(256) 325-3111,,,,4.4,24,general_contractor,"103 Intercom Dr Ste A, Madison, AL 35758, USA",,
Rocket City Water Wizards™,,,,(833) 420-9973,,,,4.8,16,general_contractor,"645 Wynn Dr NW, Huntsville, AL 35814, USA",,
"Terry Pools, LLC",,,,(256) 355-5625,,,,4.4,36,general_contractor,"2535 Gordon Terry Pkwy, Decatur, AL 35601, USA",,
Valley Pools,,,,(256) 536-8008,,,,4.6,189,general_contractor,"7445 Hwy 72 W, Madison, AL 35758, USA",,
dream pools of alabama,,,,(256) 822-2227,,,,5.0,8,general_contractor,"20830 Huntsville Brownsferry Rd, Tanner, AL 35671, USA",,
